,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
102,20-29,Female,Single,Yes,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 1,Laboratory Technician,Very High,66,871,2926,19783,1,Yes,18,Excellent,Medium,80,Lvl 0,0-10 years,5 years,Better,0-10 years,0 year,1 years,0 year
103,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Master,Other,Low,High,Lvl 2,Research Scientist,High,41,665,4809,12482,1,No,14,Excellent,High,80,Lvl 0,11-20 years,3 years,Better,11-20 years,13 years,2 years,10 years
104,30-39,Male,Divorced,No,Non Travel,Very Close,Research & Development,College,Life Sciences,High,Medium,Lvl 2,Healthcare Representative,Very High,100,1040,5163,15850,5,No,14,Excellent,Very High,80,Lvl 1,11-20 years,2 years,Best,0-10 years,0 year,0 year,0 year
105,50-59,Female,Married,No,Non Travel,Very Close,Human Resources,Master,Human Resources,High,Medium,Lvl 5,Manager,Very High,32,1420,18844,21922,9,No,21,Outstanding,Very High,80,Lvl 1,31-40 years,3 years,Better,0-10 years,2 years,2 years,2 years
106,50-59,Female,Married,No,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 5,Research Director,Medium,73,1115,18172,9755,3,Yes,19,Excellent,Low,80,Lvl 0,21-29 years,1 years,Good,0-10 years,3 years,0 year,7 years
107,20-29,Male,Single,Yes,Travel Rarely,Very Close,Sales,Bachelor,Marketing,High,Medium,Lvl 2,Sales Executive,High,46,240,5744,26959,1,Yes,11,Excellent,Very High,80,Lvl 0,0-10 years,1 years,Better,0-10 years,4 years,0 year,3 years
108,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Very High,Medium,Lvl 1,Research Scientist,Very High,64,1280,2889,26897,1,No,11,Excellent,High,80,Lvl 2,0-10 years,2 years,Better,0-10 years,2 years,2 years,1 years
109,20-29,Female,Single,No,Travel Rarely,Close,Research & Development,Bachelor,Medical,Medium,High,Lvl 1,Laboratory Technician,Very High,59,534,2871,23785,1,No,15,Excellent,High,80,Lvl 0,0-10 years,5 years,Better,0-10 years,0 year,0 year,0 year
110,50-59,Female,Single,No,Travel Frequently,Very Close,Research & Development,Master,Medical,Low,Medium,Lvl 3,Healthcare Representative,Low,30,1456,7484,25796,3,No,20,Outstanding,High,80,Lvl 0,21-29 years,1 years,Good,11-20 years,12 years,12 years,8 years
111,30-39,Male,Single,Yes,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Low,Low,Lvl 2,Laboratory Technician,High,66,658,6074,22887,1,Yes,24,Outstanding,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,7 years,0 year,6 years
112,50-59,Female,Single,No,Non Travel,Far,Human Resources,Bachelor,Human Resources,Very High,Very High,Lvl 4,Manager,Very High,30,142,17328,13871,2,Yes,12,Excellent,High,80,Lvl 0,21-29 years,3 years,Better,0-10 years,3 years,4 years,4 years
113,20-29,Male,Married,No,Travel Rarely,Close,Research & Development,Below College,Life Sciences,Medium,High,Lvl 1,Laboratory Technician,High,52,1127,2774,13257,0,No,12,Excellent,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,3 years,1 years,2 years
114,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,Medium,Lvl 2,Research Scientist,Medium,45,1031,4505,15000,6,No,15,Excellent,High,80,Lvl 1,11-20 years,3 years,Better,0-10 years,0 year,0 year,0 year
115,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,High,High,Lvl 3,Sales Executive,Very High,87,1189,7428,14506,2,No,12,Excellent,Low,80,Lvl 0,11-20 years,3 years,Better,0-10 years,3 years,1 years,3 years
116,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,Medium,Lvl 3,Manager,Low,45,1354,11631,5615,2,No,12,Excellent,Very High,80,Lvl 0,11-20 years,6 years,Better,11-20 years,10 years,5 years,8 years
117,30-39,Female,Married,No,Travel Frequently,Close,Sales,College,Technical Degree,Medium,High,Lvl 3,Sales Executive,Very High,92,1467,9738,22952,0,No,14,Excellent,High,80,Lvl 1,11-20 years,6 years,Better,0-10 years,7 years,2 years,8 years
118,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Low,High,Lvl 1,Laboratory Technician,Very High,39,922,2835,2561,5,No,22,Outstanding,Low,80,Lvl 1,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
119,40-49,Male,Married,No,Travel Frequently,Far,Sales,College,Life Sciences,High,High,Lvl 4,Manager,Very High,92,394,16959,19494,1,Yes,12,Excellent,Very High,80,Lvl 2,21-29 years,3 years,Best,21-29 years,12 years,4 years,12 years
120,30-39,Male,Divorced,No,Travel Frequently,Far,Research & Development,Bachelor,Life Sciences,Low,Low,Lvl 1,Research Scientist,High,96,1312,2613,22310,1,No,25,Outstanding,High,80,Lvl 3,11-20 years,2 years,Good,11-20 years,7 years,0 year,9 years
121,30-39,Male,Married,No,Non Travel,Far,Sales,College,Marketing,High,High,Lvl 2,Sales Executive,Medium,95,750,6146,15480,0,No,13,Excellent,Low,80,Lvl 1,0-10 years,2 years,Best,0-10 years,7 years,0 year,7 years
122,50-59,Female,Married,Yes,Travel Rarely,Close,Research & Development,Master,Life Sciences,Medium,High,Lvl 1,Research Scientist,Medium,72,441,4963,4510,9,Yes,18,Excellent,Low,80,Lvl 3,0-10 years,2 years,Better,0-10 years,4 years,4 years,3 years
123,50-59,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 5,Research Director,High,51,684,19537,6462,7,No,13,Excellent,High,80,Lvl 0,21-29 years,5 years,Better,21-29 years,18 years,15 years,15 years
124,30-39,Male,Married,Yes,Travel Rarely,Very Close,Sales,Master,Life Sciences,Medium,Low,Lvl 2,Sales Executive,High,76,249,6172,20739,4,Yes,18,Excellent,Medium,80,Lvl 0,11-20 years,3 years,Good,0-10 years,7 years,7 years,7 years
125,20-29,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Other,High,Medium,Lvl 1,Research Scientist,Medium,46,841,2368,23300,1,No,19,Excellent,High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,4 years,4 years,3 years
126,50-59,Female,Married,Yes,Travel Rarely,Far,Research & Development,Master,Medical,Very High,High,Lvl 3,Healthcare Representative,Very High,94,147,10312,3465,1,No,12,Excellent,Very High,80,Lvl 1,31-40 years,3 years,Good,31-40 years,10 years,15 years,6 years
127,<20,Male,Single,Yes,Travel Rarely,Far,Sales,Below College,Marketing,Very High,High,Lvl 1,Sales Representative,High,50,528,1675,26820,1,Yes,19,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,0 year,0 year,0 year
128,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Technical Degree,High,High,Lvl 1,Laboratory Technician,Very High,100,594,2523,19299,0,No,14,Excellent,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,1 years,2 years,1 years
129,40-49,Female,Married,No,Travel Rarely,Far,Research & Development,Master,Medical,High,High,Lvl 2,Manufacturing Director,Low,96,470,6567,5549,1,No,14,Excellent,High,80,Lvl 0,11-20 years,2 years,Good,11-20 years,11 years,5 years,11 years
130,40-49,Female,Single,No,Travel Frequently,Far,Research & Development,Bachelor,Medical,Medium,Very High,Lvl 1,Research Scientist,High,72,957,4739,16090,4,No,12,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,2 years,1 years,2 years
131,50-59,Female,Single,No,Travel Frequently,Close,Sales,Bachelor,Marketing,High,High,Lvl 3,Sales Executive,Very High,77,809,9208,6645,4,No,11,Excellent,Very High,80,Lvl 0,11-20 years,3 years,Better,0-10 years,2 years,2 years,1 years
132,30-39,Female,Married,Yes,Travel Rarely,Far,Sales,Bachelor,Life Sciences,Medium,Low,Lvl 2,Sales Executive,High,71,542,4559,24788,3,Yes,11,Excellent,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
133,40-49,Male,Divorced,No,Travel Rarely,Very Close,Sales,Below College,Life Sciences,High,High,Lvl 3,Sales Executive,High,96,802,8189,21196,3,Yes,13,Excellent,High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,7 years,0 year,7 years
134,20-29,Female,Married,No,Travel Rarely,Far,Human Resources,Below College,Life Sciences,High,High,Lvl 1,Human Resources,High,61,1355,2942,8916,1,No,23,Outstanding,Very High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,7 years,5 years,7 years
135,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Medical,Medium,High,Lvl 2,Manufacturing Director,Medium,84,216,4941,2819,6,No,20,Outstanding,Very High,80,Lvl 2,0-10 years,0 year,Better,0-10 years,2 years,0 year,1 years
136,50-59,Male,Single,Yes,Travel Frequently,Very Close,Research & Development,Master,Life Sciences,Low,Low,Lvl 3,Manufacturing Director,Very High,53,1150,10650,25150,2,No,15,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,2 years,0 year,3 years
137,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,Very High,Medium,Lvl 2,Sales Executive,High,47,1329,5902,14590,4,No,14,Excellent,High,80,Lvl 1,11-20 years,1 years,Best,11-20 years,11 years,5 years,9 years
138,20-29,Male,Married,No,Travel Rarely,Far,Sales,Bachelor,Life Sciences,Low,Medium,Lvl 2,Sales Executive,High,41,959,8639,24835,2,No,18,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
139,30-39,Male,Married,No,Travel Rarely,Very Close,Human Resources,Bachelor,Human Resources,High,High,Lvl 2,Human Resources,Very High,48,1240,6347,13982,0,Yes,19,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Bad,11-20 years,9 years,4 years,7 years
140,30-39,Female,Single,Yes,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,High,Lvl 1,Laboratory Technician,Low,41,1033,4200,10224,7,No,22,Outstanding,Low,80,Lvl 0,11-20 years,2 years,Best,0-10 years,4 years,0 year,4 years
141,40-49,Male,Single,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,High,High,Lvl 1,Research Scientist,Very High,83,1316,3452,9752,5,No,13,Excellent,Medium,80,Lvl 0,0-10 years,2 years,Good,0-10 years,5 years,0 year,3 years
142,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Doctor,Technical Degree,Very High,High,Lvl 2,Research Scientist,High,32,364,4317,2302,3,Yes,20,Outstanding,Medium,80,Lvl 0,11-20 years,2 years,Better,0-10 years,2 years,2 years,2 years
143,30-39,Female,Single,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Research Scientist,High,75,438,2632,23910,1,No,14,Excellent,High,80,Lvl 0,0-10 years,4 years,Good,0-10 years,4 years,0 year,4 years
144,30-39,Male,Divorced,No,Travel Frequently,Very Close,Sales,College,Medical,Very High,Low,Lvl 2,Sales Executive,Very High,35,689,4668,22812,0,No,17,Excellent,Very High,80,Lvl 3,0-10 years,2 years,Best,0-10 years,7 years,0 year,7 years
145,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Technical Degree,Very High,High,Lvl 1,Research Scientist,Low,84,201,3204,10415,5,No,14,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
146,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Medium,Medium,Lvl 1,Laboratory Technician,Very High,35,1427,2720,11162,0,No,13,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,3 years,1 years,2 years
147,40-49,Male,Divorced,No,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 4,Manager,Low,91,857,17181,12888,4,No,13,Excellent,Medium,80,Lvl 1,21-29 years,2 years,Good,0-10 years,6 years,7 years,7 years
148,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,High,Lvl 1,Laboratory Technician,Low,94,933,2238,6961,2,No,21,Outstanding,Very High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,0 year,1 years,4 years
149,<20,Female,Single,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Medium,High,Lvl 1,Laboratory Technician,Medium,79,1181,1483,16102,1,No,14,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
150,40-49,Female,Divorced,No,Travel Frequently,Far,Research & Development,Bachelor,Medical,Medium,High,Lvl 2,Research Scientist,Medium,54,1395,5605,8504,1,No,11,Excellent,Low,80,Lvl 1,21-29 years,2 years,Better,21-29 years,7 years,2 years,13 years
151,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,Doctor,Marketing,High,High,Lvl 3,Sales Executive,Medium,94,662,7295,11439,1,No,13,Excellent,Low,80,Lvl 2,11-20 years,3 years,Better,11-20 years,8 years,0 year,6 years
152,50-59,Male,Married,No,Travel Rarely,Very Close,Sales,College,Marketing,Medium,High,Lvl 2,Sales Representative,High,34,1436,2306,16047,2,Yes,20,Outstanding,Very High,80,Lvl 1,11-20 years,3 years,Bad,0-10 years,7 years,4 years,5 years
153,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Medium,High,Lvl 2,Laboratory Technician,Medium,60,194,2348,10901,8,No,18,Excellent,High,80,Lvl 1,21-29 years,2 years,Bad,11-20 years,9 years,0 year,15 years
154,30-39,Female,Single,No,Travel Frequently,Very Close,Sales,Bachelor,Marketing,Medium,High,Lvl 3,Sales Executive,Very High,43,967,8998,15589,1,No,14,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,8 years,3 years,7 years
155,20-29,Male,Married,No,Non Travel,Very Close,Research & Development,Below College,Technical Degree,Very High,High,Lvl 2,Manufacturing Director,High,41,1496,4319,26283,1,No,13,Excellent,Low,80,Lvl 1,11-20 years,1 years,Better,11-20 years,7 years,0 year,9 years
156,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Medium,Medium,Lvl 2,Manufacturing Director,High,34,1169,6132,13983,2,No,17,Excellent,High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,0 year,0 year,0 year
157,50-59,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Medium,Medium,Lvl 1,Research Scientist,Medium,75,1145,3346,11873,4,Yes,20,Outstanding,Medium,80,Lvl 1,0-10 years,3 years,Good,0-10 years,0 year,0 year,0 year
158,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,Master,Marketing,High,Medium,Lvl 3,Sales Executive,Very High,67,630,10855,8552,7,No,11,Excellent,Low,80,Lvl 1,11-20 years,2 years,Good,11-20 years,11 years,2 years,11 years
159,30-39,Female,Married,No,Travel Frequently,Very Close,Sales,Master,Marketing,High,High,Lvl 1,Sales Representative,High,75,303,2231,11314,6,No,18,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,3 years,1 years,2 years
160,20-29,Male,Married,No,Travel Rarely,Close,Research & Development,Below College,Medical,High,High,Lvl 1,Research Scientist,Very High,80,1256,2323,11992,1,No,24,Outstanding,Low,80,Lvl 2,0-10 years,6 years,Better,0-10 years,2 years,2 years,2 years
161,20-29,Male,Divorced,No,Non Travel,Very Close,Research & Development,Bachelor,Medical,Very High,High,Lvl 1,Research Scientist,Medium,57,691,2024,5970,6,No,18,Excellent,Very High,80,Lvl 1,0-10 years,1 years,Bad,0-10 years,2 years,2 years,2 years
162,20-29,Male,Married,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,High,High,Lvl 1,Research Scientist,Very High,42,440,2713,6672,1,No,11,Excellent,High,80,Lvl 1,0-10 years,2 years,Bad,0-10 years,2 years,0 year,2 years
163,50-59,Male,Divorced,No,Travel Rarely,Far,Research & Development,College,Life Sciences,High,Very High,Lvl 3,Healthcare Representative,Very High,83,334,9439,23402,3,Yes,16,Excellent,Medium,80,Lvl 1,11-20 years,2 years,Bad,0-10 years,3 years,1 years,4 years
164,20-29,Male,Divorced,No,Non Travel,Very Close,Research & Development,Bachelor,Medical,High,Medium,Lvl 1,Research Scientist,High,79,1450,2566,25326,1,Yes,15,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,1 years,0 year,1 years
165,50-59,Female,Single,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 5,Manager,Medium,53,1452,19926,17053,3,No,15,Excellent,Medium,80,Lvl 0,21-29 years,5 years,Better,0-10 years,4 years,4 years,4 years
166,40-49,Male,Divorced,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Research Scientist,High,56,465,2451,4609,4,No,12,Excellent,Low,80,Lvl 1,11-20 years,2 years,Better,0-10 years,8 years,1 years,8 years
167,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,Medium,High,Lvl 3,Sales Executive,Very High,41,1339,9419,8053,2,No,12,Excellent,High,80,Lvl 1,11-20 years,2 years,Better,11-20 years,9 years,7 years,4 years
168,30-39,Female,Single,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,Low,Medium,Lvl 2,Sales Executive,Very High,59,702,8686,12930,4,No,22,Outstanding,High,80,Lvl 0,11-20 years,2 years,Best,0-10 years,3 years,0 year,7 years
169,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Doctor,Life Sciences,High,High,Lvl 1,Research Scientist,High,43,120,3038,12430,3,No,20,Outstanding,Low,80,Lvl 0,0-10 years,2 years,Better,0-10 years,4 years,1 years,4 years
170,20-29,Male,Married,No,Travel Rarely,Close,Research & Development,Bachelor,Technical Degree,High,High,Lvl 1,Research Scientist,Medium,51,1157,3058,13364,0,Yes,16,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Good,0-10 years,2 years,1 years,1 years
171,<20,Female,Single,Yes,Travel Frequently,Very Close,Sales,Below College,Technical Degree,High,Low,Lvl 1,Sales Representative,Low,100,602,2325,20989,0,No,21,Outstanding,Low,80,Lvl 0,0-10 years,5 years,Best,0-10 years,0 year,0 year,0 year
172,30-39,Male,Single,No,Travel Frequently,Very Close,Research & Development,College,Medical,Very High,High,Lvl 1,Laboratory Technician,Medium,30,1480,2088,15062,4,No,12,Excellent,High,80,Lvl 0,11-20 years,3 years,Good,0-10 years,7 years,7 years,2 years
173,30-39,Male,Divorced,No,Non Travel,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 2,Laboratory Technician,Low,66,111,3072,11012,1,No,11,Excellent,High,80,Lvl 2,11-20 years,4 years,Better,11-20 years,9 years,6 years,10 years
174,40-49,Female,Divorced,No,Travel Rarely,Very Close,Sales,College,Life Sciences,High,High,Lvl 2,Sales Executive,Low,30,1268,5006,6319,4,Yes,11,Excellent,Low,80,Lvl 1,0-10 years,3 years,Best,0-10 years,4 years,0 year,3 years
175,50-59,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 1,Research Scientist,Low,67,713,4257,13939,4,Yes,18,Excellent,High,80,Lvl 1,11-20 years,3 years,Better,0-10 years,2 years,2 years,2 years
176,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 1,Research Scientist,Very High,90,134,2500,10515,0,No,14,Excellent,Low,80,Lvl 0,0-10 years,2 years,Best,0-10 years,1 years,0 year,2 years
177,<20,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Medium,Medium,Lvl 1,Laboratory Technician,Very High,47,303,1102,9241,1,No,22,Outstanding,High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,0 year,1 years,0 year
178,40-49,Female,Divorced,No,Travel Rarely,Very Close,Sales,College,Marketing,Medium,High,Lvl 3,Sales Executive,Low,92,526,10453,2137,1,No,25,Outstanding,High,80,Lvl 3,21-29 years,2 years,Better,21-29 years,13 years,15 years,7 years
179,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,High,High,Lvl 1,Laboratory Technician,Very High,75,1380,2288,6319,1,No,12,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,2 years,1 years
180,30-39,Female,Married,No,Travel Rarely,Close,Research & Development,Below College,Medical,High,High,Lvl 1,Research Scientist,Very High,95,140,3929,6984,8,Yes,23,Outstanding,High,80,Lvl 1,0-10 years,0 year,Better,0-10 years,2 years,0 year,2 years
181,30-39,Female,Single,No,Travel Rarely,Far,Research & Development,College,Medical,Very High,High,Lvl 1,Research Scientist,Medium,95,629,2311,5711,2,No,15,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,1 years,2 years
